codigo_ibge,nome,codigo_uf
1600105,Amapá,16
1600204,Calçoene,16
1600212,Cutias,16
1600238,Ferreira Gomes,16
1600253,Itaubal,16
2200053,Acauã,22
2200103,Agricolândia,22
2200202,Água Branca,22
2200251,Alagoinha do Piauí,22
2200277,Alegrete do Piauí,22
2200301,Alto Longá,22
2800209,Aquidabã,28
2800308,Aracaju,28
2800407,Arauá,28
2800506,Areia Branca,28
2800605,Barra dos Coqueiros,28
3201209,Cachoeiro de Itapemirim,32
3201308,Cariacica,32
3201407,Castelo,32
3201506,Colatina,32
3201605,Conceição da Barra,32
3201704,Conceição do Castelo,32
3541505,Presidente Venceslau,35
3541604,Promissão,35
3541653,Quadra,35
3541703,Quatá,35
3541802,Queiroz,35
3541901,Queluz,35
